feature,level,outcome,n_treatment,n_control,mean_treatment,mean_control,absolute_lift,statistic,p_value,standard_error,ci_low,ci_high,p_value_bh,reject_h0_bh
recency_band,1-3m,visit_rate,7469,7438,0.22278752175659391,0.13780586179080398,0.08498165996578994,13.492244136397012,1.7373078873978952e-41,0.006257557706167536,0.07271707223052049,0.09724624770105939,2.9782420926821057e-41,True
recency_band,4-6m,visit_rate,4673,4766,0.18125401241172695,0.10574905581200168,0.07550495659972527,10.472855684795016,1.1511688254154336e-25,0.007183240975375742,0.06142606299571644,0.08958385020373409,1.534891767220578e-25,True
recency_band,7-9m,visit_rate,4688,4699,0.1523037542662116,0.08193232602681422,0.07037142823939738,10.603093252564532,2.882842771911507e-26,0.006599052603003944,0.05743752280542435,0.0833053336733704,4.324264157867261e-26,True
recency_band,10-12m,visit_rate,4477,4403,0.1494304221576949,0.07903702021349081,0.07039340194420408,10.414818662521231,2.122015962764017e-25,0.006702366154561014,0.05725700567006428,0.08352979821834389,2.5464191553168206e-25,True
prior_channel,Multichannel,visit_rate,2577,2606,0.21148622429181219,0.12854950115118957,0.08293672314062261,7.95160654489583,1.841081833397071e-15,0.01037776384355504,0.06259667976719277,0.10327676651405246,2.008452909160441e-15,True
prior_channel,Phone,visit_rate,9240,9327,0.16277056277056276,0.0871662914120296,0.07560427135853316,15.585992946204218,9.064385742102259e-55,0.004824881865990625,0.06614767667153112,0.0850608660455352,5.438631445261356e-54,True
prior_channel,Web,visit_rate,9490,9373,0.19441517386722867,0.11885202176464313,0.07556315210258555,14.267970315957955,3.4651779435995535e-46,0.005260860058782457,0.06525205585966666,0.08587424834550443,6.930355887199107e-46,True
geography_type,Rural,visit_rate,3243,3139,0.22695035460992907,0.15355208665179992,0.07339826795812915,7.4596179064899815,8.677374825310259e-14,0.009772685793567548,0.05424415577051052,0.09255238014574778,8.677374825310259e-14,True
geography_type,Surburban,visit_rate,9501,9625,0.1733501736659299,0.09901298701298701,0.07433718665294288,14.997976767640095,7.569161037881486e-51,0.004934685612805723,0.0646653805768157,0.08400899272907006,1.8165986490915566e-50,True
geography_type,Urban,visit_rate,8563,8542,0.17645684923508118,0.0968157340201358,0.07964111521494538,15.160839034764175,6.424336334955636e-52,0.005216074487963975,0.06941779707785778,0.08986443335203298,2.5697345339822545e-51,True
is_new_customer,False,visit_rate,10621,10611,0.21156199981169382,0.13372914899632457,0.07783285081536925,15.003292724971542,6.986559274684659e-51,0.005159706777949183,0.06772001135980164,0.08794569027093686,1.8165986490915566e-50,True
is_new_customer,True,visit_rate,10686,10695,0.1541268950028074,0.0788218793828892,0.0753050156199182,17.16361410215667,4.972100373492291e-66,0.004357671660849307,0.06676413610820273,0.08384589513163368,5.966520448190749e-65,True
