targeted_fraction,targeted_users,estimated_incremental_outcomes,gross_value,contact_cost,estimated_net_value,value_per_incremental_outcome,cost_per_contact,evaluation_split,selected_on_validation
0.01,86,9.997418886893458,49.98709443446729,43.0,6.987094434467288,5.0,0.5,validation,False
0.02,171,21.99225655055052,109.9612827527526,85.5,24.461282752752595,5.0,0.5,validation,True
0.03,256,25.98897137736417,129.94485688682084,128.0,1.944856886820844,5.0,0.5,validation,False
0.04,341,17.98521672066145,89.92608360330726,170.5,-80.57391639669274,5.0,0.5,validation,False
0.05,427,7.981696695587084,39.90848347793542,213.5,-173.59151652206458,5.0,0.5,validation,False
0.060000000000000005,512,27.9770037876956,139.885018938478,256.0,-116.114981061522,5.0,0.5,validation,False
0.06999999999999999,597,47.97278019812572,239.8639009906286,298.5,-58.63609900937141,5.0,0.5,validation,False
0.08,682,41.96644431818666,209.8322215909333,341.0,-131.1677784090667,5.0,0.5,validation,False
0.09,768,59.96386331520995,299.81931657604974,384.0,-84.18068342395026,5.0,0.5,validation,False
0.09999999999999999,853,71.96057825215345,359.8028912607673,426.5,-66.6971087392327,5.0,0.5,validation,False
0.11,938,77.95611981069557,389.78059905347783,469.0,-79.21940094652217,5.0,0.5,validation,False
0.12,1023,87.9521307426242,439.76065371312103,511.5,-71.73934628687897,5.0,0.5,validation,False
0.13,1108,95.94649903289476,479.7324951644738,554.0,-74.26750483552621,5.0,0.5,validation,False
0.14,1194,99.94274454138683,499.71372270693416,597.0,-97.28627729306584,5.0,0.5,validation,False
0.15000000000000002,1279,109.93969410995868,549.6984705497935,639.5,-89.80152945020654,5.0,0.5,validation,False
0.16,1364,101.935939453256,509.67969726627996,682.0,-172.32030273372004,5.0,0.5,validation,False
0.17,1449,113.93312370852111,569.6656185426056,724.5,-154.83438145739444,5.0,0.5,validation,False
0.18000000000000002,1535,123.92960395877135,619.6480197938567,767.5,-147.85198020614325,5.0,0.5,validation,False
0.19,1620,133.9242069357352,669.6210346786761,810.0,-140.3789653213239,5.0,0.5,validation,False
0.2,1705,139.9192791759559,699.5963958797795,852.5,-152.9036041202205,5.0,0.5,validation,False
0.21000000000000002,1790,151.91740206786432,759.5870103393215,895.0,-135.41298966067848,5.0,0.5,validation,False
0.22,1876,163.91411700480796,819.5705850240398,938.0,-118.42941497596019,5.0,0.5,validation,False
0.23,1961,161.91247436314993,809.5623718157497,980.5,-170.93762818425034,5.0,0.5,validation,False
0.24000000000000002,2046,173.9082506634504,869.541253317252,1023.0,-153.45874668274803,5.0,0.5,validation,False
0.25,2131,189.90402701881578,949.5201350940789,1065.5,-115.97986490592109,5.0,0.5,validation,False
0.26,2216,189.90027247224305,949.5013623612152,1108.0,-158.49863763878477,5.0,0.5,validation,False
0.27,2302,193.8983952540216,969.491976270108,1151.0,-181.508023729892,5.0,0.5,validation,False
0.28,2387,199.8934674942423,999.4673374712114,1193.5,-194.0326625287886,5.0,0.5,validation,False
0.29000000000000004,2472,211.89018243118593,1059.4509121559297,1236.0,-176.5490878440703,5.0,0.5,validation,False
0.3,2557,233.8871321649527,1169.4356608247635,1278.5,-109.06433917523646,5.0,0.5,validation,False
0.31,2643,245.88384710189635,1229.4192355094817,1321.5,-92.08076449051828,5.0,0.5,validation,False
0.32,2728,249.88150056535332,1249.4075028267666,1364.0,-114.59249717323337,5.0,0.5,validation,False
0.33,2813,261.87868482061845,1309.3934241030922,1406.5,-97.10657589690777,5.0,0.5,validation,False
0.34,2898,263.87563427906036,1319.3781713953017,1449.0,-129.6218286046983,5.0,0.5,validation,False
0.35000000000000003,2984,279.87281858939025,1399.3640929469511,1492.0,-92.63590705304887,5.0,0.5,validation,False
0.36000000000000004,3069,291.8709414812985,1459.3547074064923,1534.5,-75.14529259350775,5.0,0.5,validation,False
0.37,3154,295.8671869897904,1479.335934948952,1577.0,-97.66406505104806,5.0,0.5,validation,False
0.38,3239,301.86460582161885,1509.3230291080943,1619.5,-110.17697089190574,5.0,0.5,validation,False
0.39,3324,303.86061664341753,1519.3030832170875,1662.0,-142.69691678291247,5.0,0.5,validation,False
0.4,3410,305.85803542018107,1529.2901771009053,1705.0,-175.70982289909466,5.0,0.5,validation,False
0.41000000000000003,3495,299.8559234051364,1499.279617025682,1747.5,-248.220382974318,5.0,0.5,validation,False
0.42000000000000004,3580,295.8535767584634,1479.2678837923172,1790.0,-310.7321162076828,5.0,0.5,validation,False
0.43,3665,313.8500571188433,1569.2502855942166,1832.5,-263.2497144057834,5.0,0.5,validation,False
0.44,3751,303.84747573041216,1519.2373786520607,1875.5,-356.26262134793933,5.0,0.5,validation,False
0.45,3836,315.8437213490339,1579.2186067451694,1918.0,-338.7813932548306,5.0,0.5,validation,False
0.46,3921,315.8413747574258,1579.206873787129,1960.5,-381.2931262128709,5.0,0.5,validation,False
0.47000000000000003,4006,325.8383243259975,1629.1916216299876,2003.0,-373.8083783700124,5.0,0.5,validation,False
0.48000000000000004,4092,327.8343351477962,1639.1716757389809,2046.0,-406.82832426101913,5.0,0.5,validation,False
